PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
PRT,10,1929,1929,1,m,88,1,RR,5,O,232,.,.,.,0
PRT,10,1929,1929,1,m,89,1,RR,5,O,117,.,.,.,0
PRT,10,1929,1929,1,m,90,1,RR,5,O,219,.,.,.,0
PRT,10,1929,1929,1,m,91,1,RR,5,O,45,.,.,.,0
PRT,10,1929,1929,1,m,92,1,RR,5,O,64,.,.,.,0
PRT,10,1929,1929,1,m,93,1,RR,5,O,56,.,.,.,0
PRT,10,1929,1929,1,m,94,1,RR,5,O,28,.,.,.,0
PRT,10,1929,1929,1,m,95,1,RR,5,O,57,.,.,.,0
PRT,10,1929,1929,1,m,96,1,RR,5,O,50,.,.,.,0
PRT,10,1929,1929,1,m,97,1,RR,5,O,18,.,.,.,0
PRT,10,1929,1929,1,m,98,1,RR,5,O,29,.,.,.,0
PRT,10,1929,1929,1,m,99,1,RR,5,O,12,.,.,.,0
PRT,10,1929,1929,1,m,100,1,RR,5,O,19,.,.,.,0
PRT,10,1929,1929,1,m,101,+,RR,5,O,17,.,.,.,0
PRT,10,1929,1929,1,m,TOT,.,RR,5,O,60344,.,.,.,0
PRT,10,1929,1929,1,m,UNK,.,RR,5,O,406,.,.,.,0
PRT,10,1930,1930,1,f,0,1,RR,5,O,13121,.,.,.,0
PRT,10,1930,1930,1,f,1,1,RR,5,O,3192,.,.,.,0
PRT,10,1930,1930,1,f,2,1,RR,5,O,1537,.,.,.,0
PRT,10,1930,1930,1,f,3,1,RR,5,O,1301,.,.,.,0
PRT,10,1930,1930,1,f,4,1,RR,5,O,1083,.,.,.,0
PRT,10,1930,1930,1,f,5,5,RR,5,O,988,.,.,.,0
PRT,10,1930,1930,1,f,10,5,RR,5,O,789,.,.,.,0
PRT,10,1930,1930,1,f,15,5,RR,5,O,1312,.,.,.,0
PRT,10,1930,1930,1,f,20,5,RR,5,O,1716,.,.,.,0
PRT,10,1930,1930,1,f,25,5,RR,5,O,1565,.,.,.,0
PRT,10,1930,1930,1,f,30,5,RR,5,O,1468,.,.,.,0
PRT,10,1930,1930,1,f,35,5,RR,5,O,1458,.,.,.,0
PRT,10,1930,1930,1,f,40,5,RR,5,O,1357,.,.,.,0
PRT,10,1930,1930,1,f,45,5,RR,5,O,1395,.,.,.,0
