PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,f,75,1,E,1,1,1846,11,O,1854,.,.,.,1
NOR,1,f,76,1,E,1,1,1846,11,O,1748,.,.,.,1
NOR,1,f,77,1,E,1,1,1846,11,O,1491,.,.,.,1
NOR,1,f,78,1,E,1,1,1846,11,O,1427,.,.,.,1
NOR,1,f,79,1,E,1,1,1846,11,O,1222,.,.,.,1
NOR,1,f,80,1,E,1,1,1846,11,O,1251,.,.,.,1
NOR,1,f,81,1,E,1,1,1846,11,O,1098,.,.,.,1
NOR,1,f,82,1,E,1,1,1846,11,O,894,.,.,.,1
NOR,1,f,83,1,E,1,1,1846,11,O,767,.,.,.,1
NOR,1,f,84,1,E,1,1,1846,11,O,643,.,.,.,1
NOR,1,f,85,1,E,1,1,1846,11,O,546,.,.,.,1
NOR,1,f,86,1,E,1,1,1846,11,O,412,.,.,.,1
NOR,1,f,87,1,E,1,1,1846,11,O,349,.,.,.,1
NOR,1,f,88,1,E,1,1,1846,11,O,282,.,.,.,1
NOR,1,f,89,1,E,1,1,1846,11,O,228,.,.,.,1
NOR,1,f,90,1,E,1,1,1846,11,O,170,.,.,.,1
NOR,1,f,91,1,E,1,1,1846,11,O,125,.,.,.,1
NOR,1,f,92,1,E,1,1,1846,11,O,105,.,.,.,1
NOR,1,f,93,1,E,1,1,1846,11,O,87,.,.,.,1
NOR,1,f,94,1,E,1,1,1846,11,O,82,.,.,.,1
NOR,1,f,95,1,E,1,1,1846,11,O,58,.,.,.,1
NOR,1,f,96,1,E,1,1,1846,11,O,46,.,.,.,1
NOR,1,f,97,1,E,1,1,1846,11,O,37,.,.,.,1
NOR,1,f,98,1,E,1,1,1846,11,O,33,.,.,.,1
NOR,1,f,99,1,E,1,1,1846,11,O,27,.,.,.,1
NOR,1,f,100,1,E,1,1,1846,11,O,12,.,.,.,1
NOR,1,f,101,1,E,1,1,1846,11,O,8,.,.,.,1
NOR,1,f,102,1,E,1,1,1846,11,O,4,.,.,.,1
NOR,1,f,103,1,E,1,1,1846,11,O,2,.,.,.,1
NOR,1,f,104,1,E,1,1,1846,11,O,1,.,.,.,1
NOR,1,f,105,1,E,1,1,1846,11,O,0,.,.,.,1
NOR,1,f,106,1,E,1,1,1846,11,O,0,.,.,.,1
NOR,1,m,0,1,E,1,1,1846,11,O,18382,.,.,.,1
NOR,1,m,1,1,E,1,1,1846,11,O,16699,.,.,.,1
NOR,1,m,2,1,E,1,1,1846,11,O,17089,.,.,.,1
NOR,1,m,3,1,E,1,1,1846,11,O,17337,.,.,.,1
NOR,1,m,4,1,E,1,1,1846,11,O,16367,.,.,.,1
NOR,1,m,5,1,E,1,1,1846,11,O,14412,.,.,.,1
NOR,1,m,6,1,E,1,1,1846,11,O,13563,.,.,.,1
NOR,1,m,7,1,E,1,1,1846,11,O,13824,.,.,.,1
NOR,1,m,8,1,E,1,1,1846,11,O,13985,.,.,.,1
NOR,1,m,9,1,E,1,1,1846,11,O,13956,.,.,.,1
NOR,1,m,10,1,E,1,1,1846,11,O,15139,.,.,.,1
NOR,1,m,11,1,E,1,1,1846,11,O,14367,.,.,.,1
NOR,1,m,12,1,E,1,1,1846,11,O,13702,.,.,.,1
NOR,1,m,13,1,E,1,1,1846,11,O,13403,.,.,.,1
NOR,1,m,14,1,E,1,1,1846,11,O,13423,.,.,.,1
NOR,1,m,15,1,E,1,1,1846,11,O,13592,.,.,.,1
NOR,1,m,16,1,E,1,1,1846,11,O,13974,.,.,.,1
NOR,1,m,17,1,E,1,1,1846,11,O,12862,.,.,.,1
NOR,1,m,18,1,E,1,1,1846,11,O,12756,.,.,.,1
NOR,1,m,19,1,E,1,1,1846,11,O,13669,.,.,.,1
NOR,1,m,20,1,E,1,1,1846,11,O,13064,.,.,.,1
NOR,1,m,21,1,E,1,1,1846,11,O,12105,.,.,.,1
NOR,1,m,22,1,E,1,1,1846,11,O,12586,.,.,.,1
NOR,1,m,23,1,E,1,1,1846,11,O,12031,.,.,.,1
NOR,1,m,24,1,E,1,1,1846,11,O,12347,.,.,.,1
NOR,1,m,25,1,E,1,1,1846,11,O,11613,.,.,.,1
NOR,1,m,26,1,E,1,1,1846,11,O,10849,.,.,.,1
NOR,1,m,27,1,E,1,1,1846,11,O,10257,.,.,.,1
NOR,1,m,28,1,E,1,1,1846,11,O,10488,.,.,.,1
NOR,1,m,29,1,E,1,1,1846,11,O,10963,.,.,.,1
NOR,1,m,30,1,E,1,1,1846,11,O,9208,.,.,.,1
NOR,1,m,31,1,E,1,1,1846,11,O,7251,.,.,.,1
NOR,1,m,32,1,E,1,1,1846,11,O,7528,.,.,.,1
NOR,1,m,33,1,E,1,1,1846,11,O,8388,.,.,.,1
NOR,1,m,34,1,E,1,1,1846,11,O,7673,.,.,.,1
NOR,1,m,35,1,E,1,1,1846,11,O,7374,.,.,.,1
NOR,1,m,36,1,E,1,1,1846,11,O,5968,.,.,.,1
NOR,1,m,37,1,E,1,1,1846,11,O,7315,.,.,.,1
NOR,1,m,38,1,E,1,1,1846,11,O,7699,.,.,.,1
NOR,1,m,39,1,E,1,1,1846,11,O,7759,.,.,.,1
NOR,1,m,40,1,E,1,1,1846,11,O,7341,.,.,.,1
NOR,1,m,41,1,E,1,1,1846,11,O,6512,.,.,.,1
NOR,1,m,42,1,E,1,1,1846,11,O,6685,.,.,.,1
NOR,1,m,43,1,E,1,1,1846,11,O,6069,.,.,.,1
NOR,1,m,44,1,E,1,1,1846,11,O,6754,.,.,.,1
NOR,1,m,45,1,E,1,1,1846,11,O,6690,.,.,.,1
NOR,1,m,46,1,E,1,1,1846,11,O,6607,.,.,.,1
NOR,1,m,47,1,E,1,1,1846,11,O,6386,.,.,.,1
NOR,1,m,48,1,E,1,1,1846,11,O,6305,.,.,.,1
NOR,1,m,49,1,E,1,1,1846,11,O,5928,.,.,.,1
NOR,1,m,50,1,E,1,1,1846,11,O,5946,.,.,.,1
NOR,1,m,51,1,E,1,1,1846,11,O,6029,.,.,.,1
NOR,1,m,52,1,E,1,1,1846,11,O,5930,.,.,.,1
NOR,1,m,53,1,E,1,1,1846,11,O,5868,.,.,.,1
NOR,1,m,54,1,E,1,1,1846,11,O,5371,.,.,.,1
NOR,1,m,55,1,E,1,1,1846,11,O,5095,.,.,.,1
NOR,1,m,56,1,E,1,1,1846,11,O,4709,.,.,.,1
NOR,1,m,57,1,E,1,1,1846,11,O,4571,.,.,.,1
NOR,1,m,58,1,E,1,1,1846,11,O,4151,.,.,.,1
NOR,1,m,59,1,E,1,1,1846,11,O,4143,.,.,.,1
NOR,1,m,60,1,E,1,1,1846,11,O,3699,.,.,.,1
NOR,1,m,61,1,E,1,1,1846,11,O,3731,.,.,.,1
